Season,M/W,Match,Y/M/D,Pool,City,Country,Team,VS_Team,SET,VS_SET,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Player No,Player Name,C,Position,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,SCORING_Efficiency %,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,ATTACK_Efficiency %,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,BLOCK_Efficiency %,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,SERVE_Efficiency %,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,RECEPTION_Efficiency %,DIG_Digs,DIG_Errors,DIG_Total,DIG_Efficiency %,SET_Point,SET_Errors,SET_Attempts,SET_Total,SET_Efficiency %
2022,Men,1,2022/7/28,Quarter_Finals,Seoul,Korea,Korea,Australia,3,2,23,25,25,22,15,25,23,18,25,13,ALL SETS,9,Kwak Seung-Suk,-,OH,1,1,0,0,-,-35.71,1,2,4,7,-14.29,0,1,0,1,-100,0,3,3,6,-50,3,0,7,10,30,4,0,4,100,0,0,0,0,-
2022,Men,1,2022/7/28,Quarter_Finals,Seoul,Korea,Korea,Australia,3,2,23,25,25,22,15,25,23,18,25,13,ALL SETS,10,Na Gyeong-Bok,-,OH,20,20,0,0,-,20.37,20,3,12,35,48.57,0,0,1,1,0,0,6,12,18,-33.33,6,2,30,38,10.53,13,0,14,92.86,0,0,2,2,0
2022,Men,1,2022/7/28,Quarter_Finals,Seoul,Korea,Korea,Australia,3,2,23,25,25,22,15,25,23,18,25,13,ALL SETS,11,Choi Min-Ho,-,MB,11,8,3,0,-,33.33,8,0,7,15,53.33,3,0,5,8,37.5,0,1,6,7,-14.29,0,0,0,0,-,2,0,2,100,0,0,3,3,0
2022,Men,1,2022/7/28,Quarter_Finals,Seoul,Korea,Korea,Australia,3,2,23,25,25,22,15,25,23,18,25,13,ALL SETS,14,Lim Sungjin,-,OH,0,0,0,0,-,-20,0,0,0,0,-,0,0,0,0,-,0,1,4,5,-20,0,0,0,0,-,1,0,1,100,0,0,0,0,-
2022,Men,1,2022/7/28,Quarter_Finals,Seoul,Korea,Korea,Australia,3,2,23,25,25,22,15,25,23,18,25,13,ALL SETS,18,Heo Subong,-,O,33,27,2,4,-,27.03,27,8,13,48,39.58,2,0,0,2,100,4,5,15,24,-4.17,0,0,0,0,-,7,0,8,87.5,0,0,1,1,0
2022,Men,1,2022/7/28,Quarter_Finals,Seoul,Korea,Korea,Australia,3,2,23,25,25,22,15,25,23,18,25,13,ALL SETS,22,Shin Yung-Suk,-,MB,7,3,3,1,-,14.71,3,1,5,9,22.22,3,0,4,7,42.86,1,1,16,18,0,2,0,1,3,66.67,3,0,3,100,0,0,0,0,-
2022,Men,1,2022/7/28,Quarter_Finals,Seoul,Korea,Korea,Australia,3,2,23,25,25,22,15,25,23,18,25,13,SET 1,1,Im Donghyeok,-,O,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2022,Men,1,2022/7/28,Quarter_Finals,Seoul,Korea,Korea,Australia,3,2,23,25,25,22,15,25,23,18,25,13,SET 1,2,Han Sun-Soo,C,S,0,0,0,0,-,-16.67,0,1,0,1,-100,0,0,0,0,-,0,0,5,5,0,0,0,1,1,0,0,0,0,-,0,0,21,21,0
2022,Men,1,2022/7/28,Quarter_Finals,Seoul,Korea,Korea,Australia,3,2,23,25,25,22,15,25,23,18,25,13,SET 1,3,Hwang Kyungmin,-,OH,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2022,Men,1,2022/7/28,Quarter_Finals,Seoul,Korea,Korea,Australia,3,2,23,25,25,22,15,25,23,18,25,13,SET 1,4,Jeong Minsu,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,2,1,1,4,25,5,0,5,100,0,0,3,3,0
2022,Men,1,2022/7/28,Quarter_Finals,Seoul,Korea,Korea,Australia,3,2,23,25,25,22,15,25,23,18,25,13,SET 1,5,Park Kyeongmin,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2022,Men,1,2022/7/28,Quarter_Finals,Seoul,Korea,Korea,Australia,3,2,23,25,25,22,15,25,23,18,25,13,SET 1,6,Hwang Taekeui,-,S,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2022,Men,1,2022/7/28,Quarter_Finals,Seoul,Korea,Korea,Australia,3,2,23,25,25,22,15,25,23,18,25,13,SET 1,7,Park Jin-Woo,-,MB,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2022,Men,1,2022/7/28,Quarter_Finals,Seoul,Korea,Korea,Australia,3,2,23,25,25,22,15,25,23,18,25,13,SET 1,8,Kim Kyumin,-,MB,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2022,Men,1,2022/7/28,Quarter_Finals,Seoul,Korea,Korea,Australia,3,2,23,25,25,22,15,25,23,18,25,13,SET 1,9,Kwak Seung-Suk,-,OH,0,0,0,0,-,-50,0,1,0,1,-100,0,0,0,0,-,0,1,2,3,-33.33,0,0,1,1,0,1,0,1,100,0,0,0,0,-
