Season,M/W,Match,Y/M/D,Pool,City,Country,Team,VS_Team,SET,VS_SET,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Service points won,Receiver points won,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,DIG_Digs,DIG_Errors,DIG_Total,SET_Point,SET_Errors,SET_Attempts,SET_Total
2022,Men,7,2022/7/31,Final 3rd-4th,Seoul,Korea,Korea,Czech Republic,3,2,25,25,24,23,22,19,16,26,25,20,1,11/24 (46%),14/20 (70%),16,13,2,1,-,13,4,10,27,2,0,3,5,1,2,21,24,4,1,13,18,9,0,11,0,0,26,26
2022,Men,7,2022/7/31,Final 3rd-4th,Seoul,Korea,Korea,Czech Republic,3,2,25,25,24,23,22,19,16,26,25,20,2,12/25 (48%),13/16 (81%),19,16,1,2,-,16,1,5,22,1,0,3,4,2,3,20,25,4,0,10,14,8,1,10,0,0,21,21
2022,Men,7,2022/7/31,Final 3rd-4th,Seoul,Korea,Korea,Czech Republic,3,2,25,25,24,23,22,19,16,26,25,20,3,5/24 (21%),19/26 (73%),21,18,1,2,-,18,5,5,28,1,0,1,2,2,5,17,24,7,1,15,23,9,0,9,0,0,29,29
2022,Men,7,2022/7/31,Final 3rd-4th,Seoul,Korea,Korea,Czech Republic,3,2,25,25,24,23,22,19,16,26,25,20,4,6/24 (25%),17/24 (71%),15,14,1,0,-,14,8,4,26,1,1,5,7,0,5,19,24,2,0,17,19,9,0,10,0,0,27,27
2022,Men,7,2022/7/31,Final 3rd-4th,Seoul,Korea,Korea,Czech Republic,3,2,25,25,24,23,22,19,16,26,25,20,5,3/15 (20%),12/17 (71%),15,15,0,0,-,15,3,4,22,0,0,3,3,0,4,17,21,5,0,12,17,5,0,6,0,0,22,22
2022,Men,8,2022/7/31,Final 1st-2nd,Seoul,Korea,Cuba,Türkiye,3,1,25,23,25,25,-,17,25,20,20,-,ALL,37/97 (38%),61/83 (73%),73,56,9,8,-,56,13,26,95,9,3,11,23,8,17,72,97,11,6,54,71,30,0,32,0,0,91,91
2022,Men,8,2022/7/31,Final 1st-2nd,Seoul,Korea,Cuba,Türkiye,3,1,25,23,25,25,-,17,25,20,20,-,1,10/24 (42%),15/18 (83%),19,14,2,3,-,14,2,7,23,2,2,3,7,3,4,17,24,3,0,13,16,8,0,8,0,0,21,21
2022,Men,8,2022/7/31,Final 1st-2nd,Seoul,Korea,Cuba,Türkiye,3,1,25,23,25,25,-,17,25,20,20,-,2,7/24 (29%),16/24 (67%),16,14,1,1,-,14,3,7,24,1,0,3,4,1,4,19,24,3,4,12,19,8,0,8,0,0,23,23
2022,Men,8,2022/7/31,Final 1st-2nd,Seoul,Korea,Cuba,Türkiye,3,1,25,23,25,25,-,17,25,20,20,-,3,11/24 (46%),14/21 (67%),18,12,3,3,-,12,5,4,21,3,1,1,5,3,5,16,24,0,1,16,17,7,0,8,0,0,21,21
2022,Men,8,2022/7/31,Final 1st-2nd,Seoul,Korea,Cuba,Türkiye,3,1,25,23,25,25,-,17,25,20,20,-,4,9/25 (36%),16/20 (80%),20,16,3,1,-,16,3,8,27,3,0,4,7,1,4,20,25,5,1,13,19,7,0,8,0,0,26,26
2022,Men,8,2022/7/31,Final 1st-2nd,Seoul,Korea,Türkiye,Cuba,1,3,17,25,20,20,-,25,23,25,25,-,ALL,22/83 (27%),60/97 (62%),57,43,8,6,-,43,17,28,88,8,3,10,21,6,12,65,83,21,8,51,80,20,0,23,0,1,88,89
2022,Men,8,2022/7/31,Final 1st-2nd,Seoul,Korea,Türkiye,Cuba,1,3,17,25,20,20,-,25,23,25,25,-,1,3/18 (17%),14/24 (58%),9,9,0,0,-,9,4,8,21,0,1,2,3,0,2,16,18,5,3,12,20,4,0,5,0,1,21,22
