Season,M/W,Match,Y/M/D,Pool,City,Country,Team,VS_Team,SET,VS_SET,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,SCORING_Efficiency %,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,ATTACK_Efficiency %,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,BLOCK_Efficiency %,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,SERVE_Efficiency %,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,RECEPTION_Efficiency %,DIG_Digs,DIG_Errors,DIG_Total,DIG_Efficiency %,SET_Point,SET_Errors,SET_Attempts,SET_Total,SET_Efficiency %
2022,Women,8,44773,Final 1st-2nd,Zadar,Croatia,Croatia,Belgium,3,1,25,21,25,25,-,20,25,22,21,-,ALL SETS,73,61,10,2,,-92.79,61,22,57,140,182.29,10,24,1,35,-172.22,2,14,79,95,-222.65,25,7,46,78,-32.5,3,2,6,33.33,9,1,120,130,6.45
2022,Women,8,44773,Final 1st-2nd,Zadar,Croatia,Croatia,Belgium,3,1,25,21,25,25,-,20,25,22,21,-,SET 1,19,16,2,1,,47.32,16,5,10,31,269.4,2,5,0,7,-233.33,1,4,20,25,-100,5,2,9,16,51.51,2,1,3,100,1,0,27,28,4
2022,Women,8,44773,Final 1st-2nd,Zadar,Croatia,Croatia,Belgium,3,1,25,21,25,25,-,20,25,22,21,-,SET 2,16,13,3,0,,-152.2,13,7,13,33,147.63,3,8,0,11,-233.33,0,5,16,21,-241.66,6,1,15,22,60.6,0,0,0,,4,0,24,28,14.29
2022,Women,8,44773,Final 1st-2nd,Zadar,Croatia,Croatia,Belgium,3,1,25,21,25,25,-,20,25,22,21,-,SET 3,18,16,2,0,,66.95,16,4,14,34,298.46,2,3,0,5,-100,0,2,23,25,-75,5,4,11,20,-120,1,1,3,0,2,1,29,32,3.12
2022,Women,8,44773,Final 1st-2nd,Zadar,Croatia,Croatia,Belgium,3,1,25,21,25,25,-,20,25,22,21,-,SET 4,20,16,3,1,,-7.87,16,6,20,42,119.44,3,8,1,12,-233.33,1,3,20,24,-80,9,0,11,20,140,0,0,0,,2,0,40,42,5.13
2022,Men,4,44770,Quarter_Finals,Seoul,Korea,Chile,Cuba,0,3,20,19,19,-,-,25,25,25,-,-,ALL SETS,28,21,1,6,,-56.44,21,9,28,58,178.88,1,1,10,12,80,6,15,38,59,-203.89,8,11,33,52,-18.84,23,0,26,720.84,0,3,59,62,-6.38
2022,Men,4,44770,Quarter_Finals,Seoul,Korea,Chile,Cuba,0,3,20,19,19,-,-,25,25,25,-,-,SET 1,9,8,0,1,,-17.38,8,2,8,18,183.33,0,0,4,4,0,1,4,15,20,-116.66,2,5,11,18,-59.09,8,0,9,466.67,0,1,19,20,-6.25
2022,Men,4,44770,Quarter_Finals,Seoul,Korea,Chile,Cuba,0,3,20,19,19,-,-,25,25,25,-,-,SET 2,11,6,1,4,,-68.89,6,5,8,19,14.29,1,0,2,3,100,4,5,11,20,-113.33,1,5,12,18,-68.57,7,0,8,350,0,0,20,20,0
2022,Men,4,44770,Quarter_Finals,Seoul,Korea,Chile,Cuba,0,3,20,19,19,-,-,25,25,25,-,-,SET 3,8,7,0,1,,-120,7,2,12,21,140.47,0,1,4,5,-50,1,6,12,19,-258.33,5,1,10,16,84.29,8,0,9,466.67,0,2,20,22,-10
2022,Men,1,44770,Quarter_Finals,Seoul,Korea,Australia,Korea,2,3,25,23,18,25,13,23,25,25,22,15,ALL SETS,71,59,7,5,,102.27,59,19,47,125,317.7,7,1,18,26,241.67,5,16,83,104,-178.94,18,6,65,89,93.28,44,1,51,818.77,0,1,118,119,-1.41
